Code,Rank,True Rank,Entity,Instances,Accuracy,Value,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv,corruption.csv,freedom.csv,undernourishment.csv
IND,122,151,India,20,100.0,48.99430811996687,50.17359,2.2009783,81.4,7.29,0.6,6.88,1.975,7765.593,4.389,72.0026,76,24.3,94.25,24.11,58.46,36.43,0.657,0.669,63,13.7
IDN,83,110,Indonesia,20,100.0,60.61014319364627,19.3398,2.8650963,40.8,6.44,0.14,8.697224,2.127,12801.671,5.617,71.1457,96,38.2,94.25,17.78,46.44,15.82,0.654,0.756,56,7.2
IRN,110,139,Iran,20,100.0,53.56075525740788,31.61622,8.656227,35.6,1.96,3.06,10.846712,1.695,18473.066,5.093,77.6545,86,13.3,84,17.94,51.78,2.92,0.359,0.781,11,6.5
IRQ,124,153,Iraq,20,100.0,48.196316255671476,39.28878,5.074398,53.1,2.8,0.95,6.7800465,3.249,13071.94,4.976,72.3242,86,19.2,88.333,15.629999,45.11,4.44,0.334,0.844,31,16.1
IRL,8,9,Ireland,20,100.0,84.72111931636572,8.19503,6.3388243,33,9.19,4.86,11.724999,1.598,60257.082,6.889,82.4118,100,19.3,99.2,13.860001,36.35,2.71,0.943,0.032,97,2.5
ISR,39,50,Israel,20,100.0,74.7443427397105,19.47101,5.6074414,69.2,7.8,1.12,13.534595,2.83,36648.918,7.234,82.408,98,20.4,93.667,16.63,48.57,2.05,0.798,0.122,73,2.5
ITA,31,38,Italy,20,100.0,76.75988759392577,14.22481,5.087886,136.8,7.58,0.91,10.828128,1.198,36224.293,6.415,83.7157,99,22.4,87.333,12.48,37.28,3.01,0.931,0.196,89,2.5
JAM,48,66,Jamaica,20,100.0,70.2997864142321,14.8314,2.9592197,59.2,6.74,0.15,9.95991,1.358,7481.6685,5.87,71.4789,89,9.7,95.1,17.87,51.81,2.29,0.916,0.18,80,7.3
JPN,27,30,Japan,20,100.0,78.61558980561296,10.83519,7.7724743,229.6,8.48,0.22,12.684047,1.208,38268.79,6.147,84.7123,100,19.2,96.25,12.89,43.53,8.43,0.929,0.063,96,3.4
JOR,103,131,Jordan,20,100.0,55.90928823408261,25.87215,2.009813,89.7,3.28,0.06,10.24,2.639,9151.479,4.31,77.8145,95,35.6,100,19.91,50.050003,1.94,0.673,0.422,34,17.9
KAZ,81,108,Kazakhstan,20,100.0,60.919345704386615,26.50215,13.937352,24.8,3.08,1.85,12.547174,3.012,26491.857,6.378,74.4021,100,22.2,100,15.000001,40.95,3.22,0.607,0.706,23,2.5
KEN,126,155,Kenya,20,100.0,48.063655968430915,12.52415,0.37611777,68,5.05,0.17,8.62471,3.208,3403.9238,4.51,63.6459,82,10.7,84,15.68,48.829998,29.04,0.611,0.542,51,34.5
KIR,63,86,Kiribati,14,70.0,66.12538499312865,7.61811,0.5386222,8.7,,4.72,9.128582,3.147,,,66.4731,97.95971,39.7,,16.03,48.41,37.37,,,89,3.7
KWT,87,114,Kuwait,20,100.0,59.43121256596904,64.07714,26.24753,7.3,2.78,1.1,7.566007,1.525,71533.516,6.629,80.4047,96,19.9,98.6,17.1,44.06,0.79,0.516,0.314,31,2.5
KGZ,88,115,Kyrgyzstan,20,100.0,59.40489948515204,37.58464,1.6379259,37.8,3.52,0.77,12.065888,2.8,5304.841,5.858,71.677,100,27.3,100,18.49,42.809998,2.31,0.695,0.801,26,6.1
LAO,125,154,Laos,20,100.0,48.15895718992432,21.15498,3.140345,90.7,1.71,0.11,6.060246,2.421,7168.1904,5.301,68.9637,85,27.2,95.75,20.33,48.719997,20.52,0.242,0.744,13,5.4
LVA,23,26,Latvia,20,100.0,79.29323889463019,12.02183,3.4520962,47.1,7.66,2,13.40944,1.338,27220.303,6.207,76.1898,100,33.9,93,10.69,34.91,2.63,0.948,0.071,89,2.5
LBN,113,142,Lebanon,20,100.0,51.83611166017008,24.234,2.6955004,163.8,3.56,0.33,10.37,2.239,10341.159,3.188,77.817,93,34.3,68.143,21.17,55.11,2.39,0.512,0.843,39,9.6
LSO,119,148,Lesotho,19,95.0,49.84251859580712,17.59755,1.100255,57.1,6.06,0.78,7.7298837,2.694,2312.9583,3.757,57.3749,86.24087,24.3,91.875,14.33,49.11,108.06,0.703,0.539,66,
LBR,140,170,Liberia,20,100.0,42.81172460149163,35.79581,0.15310843,55.7,5.57,0.02,6.169892,3.95,811.2146,4.277,62.1625,50,8.2,92.75,12,42.59,34.62,0.759,0.876,64,38.4
LBY,130,159,Libya,18,90.0,45.88703162851082,29.83557,8.841596,,2.31,2.89,7.7786064,2.355,12755.204,5.82,69.3389,91,,43.5,16.769999,46.59,2.15,0.273,0.821,10,11.4
LTU,25,28,Lithuania,20,100.0,79.15447140282072,10.36907,4.386505,41.8,7.59,3.4,13.610692,1.201,30863.32,6.829,76.025,100,31.4,100,9.4800005,34.42,2.61,0.924,0.172,89,2.5
LUX,10,12,Luxembourg,20,100.0,83.5636454546698,8.89471,10.459649,27.1,8.88,2.57,12.589372,1.396,55484.777,7.122,82.2294,100,23,100,13.66,36.43,1.88,0.955,0.029,97,2.5
MDG,148,178,Madagascar,20,100.0,40.17415859916074,16.02251,0.14166704,49.7,5.33,0.48,4.59252,3.972,1367.0938,4.157,63.6317,74.68614,26.8,82.4,15.0199995,50.260002,40.06,0.647,0.827,55,39.7
MWI,137,167,Malawi,20,100.0,43.24588441233752,18.56954,0.08688312,80.4,5.85,0.64,5.24374,3.648,1190.0509,3.26,67.3535,70.15227,9.7,75.333,15.0199995,47.81,30.81,0.752,0.721,65,19.9
